"Seqs"	"Plate"	"Pos"	"Plate.1"	"Colunm"	"Row"	"PlatePos"	"ID"	"Compartment"	"Specie2"	"Subsample"	"Specie"	"Cluster"
45570	"P2"	"bc48"	3	6	"H"	"H6"	"W167"	"Water"	"Lemna_Valdiviana_7650"	1	"LV7650"	"2"
54467	"P2"	"bc49"	3	7	"A"	"A7"	"W195"	"Water"	"Lemna_Tenera_9243"	5	"LT9243"	"3"
47317	"P2"	"bc4"	3	1	"D"	"D1"	"L110"	"Front"	"Spirodela_Intermedia_7820"	5	"SI7820"	"1"
17318	"P2"	"bc50"	3	7	"B"	"B7"	"R124"	"Root"	"Spirodela_polyrhiza_5543"	4	"SP5543"	"1"
21407	"P2"	"bc51"	3	7	"C"	"C7"	"Inom3"	"Inoculum"	"Inoculum"	2	"Inoculum"	"Inoculum"
21902	"P2"	"bc52"	3	7	"D"	"D7"	"L166"	"Front"	"Lemna_Valdiviana_7650"	1	"LV7650"	"2"
43047	"P2"	"bc53"	3	7	"E"	"E7"	"W154"	"Water"	"Lemna_Japonica_9250"	5	"LJ9250"	"2"
25877	"P2"	"bc54"	3	7	"F"	"F7"	"L151"	"Front"	"Lemna_Japonica_9250"	1	"LJ9250"	"2"
19465	"P2"	"bc55"	3	7	"G"	"G7"	"L112"	"Front"	"Spirodela_Intermedia_9227"	1	"SI9227"	"1"
25658	"P2"	"bc56"	3	7	"H"	"H7"	"R184"	"Root"	"Lemna_Aequinoctialis_7339"	4	"LA7339"	"3"
33432	"P2"	"bc57"	3	8	"A"	"A8"	"R151"	"Root"	"Lemna_Japonica_9250"	1	"LJ9250"	"2"
39712	"P2"	"bc58"	3	8	"B"	"B8"	"W118"	"Water"	"Spirodela_polyrhiza_9509"	3	"SP9509"	"1"
24051	"P2"	"bc59"	3	8	"C"	"C8"	"R137"	"Root"	"Londoltia_Punctata_7760"	2	"LP7760"	"2"
28460	"P2"	"bc5"	3	1	"E"	"E1"	"W119"	"Water"	"Spirodela_polyrhiza_9509"	4	"SP9509"	"1"
30436	"P2"	"bc60"	3	8	"D"	"D8"	"L161"	"Front"	"Lemna_Minor_8389"	1	"LM8389"	"2"
18332	"P2"	"bc61"	3	8	"E"	"E8"	"W147"	"Water"	"Lemna_Turionifera_9109"	2	"LT9109"	"2"
19548	"P2"	"bc62"	3	8	"F"	"F8"	"R189"	"Root"	"Lemna_Perpusilla_8539"	3	"LP8539"	"3"
17747	"P2"	"bc63"	3	8	"G"	"G8"	"W150"	"Water"	"Lemna_Turionifera_9109"	6	"LT9109"	"2"
34943	"P2"	"bc64"	3	8	"H"	"H8"	"W130"	"Water"	"Spirodela_polyrhiza_7498"	5	"SP7498"	"1"
55782	"P2"	"bc65"	3	9	"A"	"A9"	"L120"	"Front"	"Spirodela_polyrhiza_9509"	5	"SP9509"	"1"
17847	"P2"	"bc66"	3	9	"B"	"B9"	"R194"	"Root"	"Lemna_Tenera_9243"	4	"LT9243"	"3"
4540	"P2"	"bc67"	3	9	"C"	"C9"	"L113"	"Front"	"Spirodela_Intermedia_9227"	2	"SI9227"	"1"
1598	"P2"	"bc68"	3	9	"D"	"D9"	"R170"	"Root"	"Lemna_Yungensis_5280"	5	"LY5280"	"3"
25779	"P2"	"bc69"	3	9	"E"	"E9"	"R171"	"Root"	"Lemna_Valdiviana_7650"	1	"LV7650"	"2"
23553	"P2"	"bc6"	3	1	"F"	"F1"	"R135"	"Root"	"Spirodela_polyrhiza_9192"	5	"SP9192"	"1"
29761	"P2"	"bc70"	3	9	"F"	"F9"	"R150"	"Root"	"Lemna_Turionifera_9109"	5	"LT9109"	"2"
29025	"P2"	"bc71"	3	9	"G"	"G9"	"W106"	"Water"	"Spirodela_Intermedia_7820"	1	"SI7820"	"1"
8211	"P2"	"bc72"	3	9	"H"	"H9"	"L183"	"Front"	"Lemna_Aequinoctialis_7339"	2	"LA7339"	"3"
