"Seqs"	"Plate"	"Pos"	"Plate.1"	"Colunm"	"Row"	"PlatePos"	"ID"	"Compartment"	"Specie2"	"Subsample"	"Specie"	"Cluster"
31228	"P1"	"bc88"	1	11	"H"	"H11"	"R107"	"Root"	"Spirodela_Intermedia_7820"	2	"SI7820"	"1"
80216	"P1"	"bc89"	1	12	"A"	"A12"	"W133"	"Water"	"Spirodela_polyrhiza_9192"	3	"SP9192"	"1"
108975	"P1"	"bc8"	1	1	"H"	"H1"	"L122"	"Front"	"Spirodela_polyrhiza_5543"	2	"SP5543"	"1"
19713	"P1"	"bc91"	1	12	"C"	"C12"	"R157"	"Root"	"Lemna_Minor_7123"	1	"LM7123"	"2"
24662	"P1"	"bc92"	1	12	"D"	"D12"	"L191"	"Front"	"Lemna_Tenera_9243"	1	"LT9243"	"3"
22335	"P1"	"bc93"	1	12	"E"	"E12"	"L132"	"Front"	"Spirodela_polyrhiza_9192"	2	"SP9192"	"1"
30310	"P1"	"bc94"	1	12	"F"	"F12"	"W184"	"Water"	"Lemna_Aequinoctialis_7339"	3	"LA7339"	"3"
34256	"P1"	"bc95"	1	12	"G"	"G12"	"W152"	"Water"	"Lemna_Japonica_9250"	2	"LJ9250"	"2"
390	"P1"	"bc96"	1	12	"H"	"H12"	"BLANK"	"BLANK"	"BLANK"	1	"BLANK"	"BLANK"
36343	"P1"	"bc9"	1	2	"A"	"A2"	"L148"	"Front"	"Lemna_Turionifera_9109"	3	"LT9109"	"2"
